Collector	Date	Well	Strain	Media	Hours	Experiment	Drop	Notes
Sam Coradetti	20170907	B02	APA 4883	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	B03	APA 4884	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	B04	APA 4885	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	B05	APA 4886	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	B06	APA 4887	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	B07	APA 4836	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	B08	APA 4837	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	B09	APA 4839	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	B10	APA 4841	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	C02	APA 4883	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	C03	APA 4884	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	C04	APA 4885	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	C05	APA 4886	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	C06	APA 4887	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	C07	APA 4836	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	C08	APA 4837	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	C09	APA 4839	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	C10	APA 4841	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	A02	APA 4883	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	A03	APA 4884	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	A04	APA 4885	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	A05	APA 4886	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	A06	APA 4887	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	A07	APA 4836	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	A08	APA 4837	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	A09	APA 4839	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	A10	APA 4841	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	B02	APA 4883	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	B03	APA 4884	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	B04	APA 4885	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	B05	APA 4886	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	B06	APA 4887	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	B07	APA 4836	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	B08	APA 4837	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	B09	APA 4839	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	B10	APA 4841	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	C02	APA 4883	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	C03	APA 4884	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	C04	APA 4885	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	C05	APA 4886	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	C06	APA 4887	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	C07	APA 4836	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	C08	APA 4837	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	C09	APA 4839	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170915	C10	APA 4841	Nicaud CN120	40	Lipid Accumulation		
